                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.149,                 1.0653,                 1.1872,                0.95764,                0.96336,                0.97665,                0.73145,                0.90494,                0.56974,                 1.1257,             0.00046877,             0.00046877,             0.00046877
                      2,                0.97903,                0.65441,                 1.0882,                0.98464,                0.98963,                0.99441,                0.76971,                0.85854,                0.40666,                 1.0648,             0.00093575,             0.00093575,             0.00093575
                      3,                0.97812,                0.62525,                 1.1035,                0.98518,                0.99213,                0.99437,                0.76537,                 0.8868,                0.38893,                 1.0831,              0.0013933,              0.0013933,              0.0013933
                      4,                 0.9471,                0.61566,                 1.0787,                0.98397,                0.98085,                0.99384,                0.77027,                 0.8392,                  0.382,                 1.0775,              0.0013866,              0.0013866,              0.0013866
                      5,                 0.9456,                0.59125,                 1.0851,                0.97296,                0.96491,                0.98824,                0.76887,                0.84055,                 0.3923,                 1.0615,              0.0013724,              0.0013724,              0.0013724
                      6,                0.98318,                0.57936,                 1.0969,                0.98109,                0.98723,                0.99474,                0.77529,                0.82814,                 0.3551,                  1.054,              0.0013583,              0.0013583,              0.0013583
                      7,                0.91996,                0.56347,                 1.0751,                0.97501,                0.98177,                0.99191,                0.76755,                0.88777,                0.38193,                 1.0836,              0.0013441,              0.0013441,              0.0013441
                      8,                0.93425,                0.56832,                 1.0781,                0.98002,                0.97773,                0.99375,                0.77277,                  0.847,                0.38164,                 1.0651,                0.00133,                0.00133,                0.00133
                      9,                0.95223,                0.58826,                 1.0913,                0.96855,                0.98199,                0.99216,                0.77456,                0.83672,                0.36557,                 1.0534,              0.0013158,              0.0013158,              0.0013158
                     10,                 0.9448,                0.55497,                 1.0724,                0.98678,                0.99226,                 0.9949,                0.78206,                0.83851,                0.33669,                 1.0659,              0.0013017,              0.0013017,              0.0013017
                     11,                0.93994,                0.53167,                 1.0817,                0.98883,                0.99558,                0.99456,                 0.7966,                 0.7978,                0.31452,                 1.0357,              0.0012875,              0.0012875,              0.0012875
                     12,                0.92645,                0.55007,                 1.0793,                0.94723,                0.96262,                0.98894,                0.76181,                0.90274,                0.42088,                 1.0952,              0.0012734,              0.0012734,              0.0012734
                     13,                0.91003,                0.54727,                 1.0658,                0.99727,                0.99678,                  0.995,                0.79926,                0.80051,                 0.3191,                 1.0437,              0.0012592,              0.0012592,              0.0012592
                     14,                0.90657,                0.51384,                 1.0663,                0.98414,                0.99134,                0.99414,                0.79312,                0.82747,                0.33786,                 1.0495,              0.0012451,              0.0012451,              0.0012451
                     15,                0.89238,                 0.5123,                 1.0605,                0.98631,                0.98955,                0.99413,                0.80706,                0.79557,                0.32904,                 1.0359,              0.0012309,              0.0012309,              0.0012309
                     16,                0.90425,                0.53613,                 1.0725,                0.97139,                0.97233,                0.98841,                0.78682,                0.81581,                 0.3668,                 1.0481,              0.0012168,              0.0012168,              0.0012168
                     17,                0.89014,                0.51632,                 1.0609,                0.99799,                0.99357,                0.99499,                0.80654,                0.78345,                0.29785,                 1.0339,              0.0012026,              0.0012026,              0.0012026
                     18,                0.88498,                0.50959,                 1.0514,                0.98959,                0.99144,                0.99363,                0.80105,                0.77729,                0.32689,                 1.0254,              0.0011885,              0.0011885,              0.0011885
                     19,                 0.8745,                0.50266,                 1.0516,                0.99498,                0.99603,                0.99499,                0.81899,                0.75678,                0.29161,                 1.0144,              0.0011744,              0.0011744,              0.0011744
                     20,                0.89051,                0.50971,                  1.062,                0.99353,                 0.9909,                0.99441,                0.81629,                0.75139,                 0.3034,                 1.0198,              0.0011602,              0.0011602,              0.0011602
                     21,                0.86767,                0.48908,                 1.0501,                0.99705,                0.99639,                0.99499,                0.81965,                0.75369,                0.30025,                 1.0124,              0.0011461,              0.0011461,              0.0011461
                     22,                0.87226,                0.48846,                 1.0585,                0.98593,                0.99536,                0.99495,                0.80863,                0.76532,                0.30415,                 1.0218,              0.0011319,              0.0011319,              0.0011319
                     23,                0.86314,                0.47898,                 1.0471,                0.98441,                0.99597,                0.99486,                0.81371,                0.75912,                0.30449,                 1.0152,              0.0011178,              0.0011178,              0.0011178
                     24,                0.87978,                0.48391,                 1.0564,                0.99305,                0.99335,                0.99499,                 0.8241,                0.73465,                0.29124,                0.99543,              0.0011036,              0.0011036,              0.0011036
                     25,                0.86607,                0.47609,                 1.0424,                0.99417,                0.99706,                0.99497,                 0.8287,                0.72978,                0.28332,                0.99884,              0.0010895,              0.0010895,              0.0010895
                     26,                0.85917,                0.47127,                 1.0385,                0.99391,                0.99406,                0.99475,                0.81916,                0.75553,                0.29601,                 1.0124,              0.0010753,              0.0010753,              0.0010753
                     27,                0.86105,                0.48726,                 1.0504,                0.98891,                0.99779,                0.99494,                  0.828,                0.72778,                0.29043,                 1.0024,              0.0010612,              0.0010612,              0.0010612
                     28,                0.82992,                0.46928,                 1.0335,                0.97902,                0.98084,                0.99338,                0.81188,                 0.7584,                 0.3217,                 1.0137,               0.001047,               0.001047,               0.001047
                     29,                 0.8414,                0.47713,                 1.0376,                0.99445,                0.99412,                0.99421,                0.82972,                  0.725,                0.29309,                0.99966,              0.0010329,              0.0010329,              0.0010329
                     30,                0.84049,                0.47648,                  1.043,                0.99552,                0.99436,                0.99494,                0.83938,                0.68603,                0.28199,                0.98446,              0.0010187,              0.0010187,              0.0010187
                     31,                0.83431,                0.45924,                 1.0352,                0.98377,                 0.9865,                0.99404,                0.84101,                0.68814,                0.29633,                0.97919,              0.0010046,              0.0010046,              0.0010046
                     32,                0.81278,                0.45168,                 1.0246,                  0.996,                0.99614,                0.99496,                0.84239,                0.68295,                0.27214,                0.97881,             0.00099044,             0.00099044,             0.00099044
                     33,                0.82596,                0.44822,                 1.0344,                 0.9902,                0.99724,                0.99497,                0.84346,                0.68384,                0.27167,                0.97745,             0.00097629,             0.00097629,             0.00097629
                     34,                0.83241,                0.45604,                  1.035,                0.99314,                0.99099,                0.99451,                0.84313,                0.69638,                0.28488,                0.98308,             0.00096215,             0.00096215,             0.00096215
                     35,                0.80217,                0.43415,                 1.0127,                 0.9977,                 0.9984,                0.99496,                0.84701,                0.68364,                0.26407,                0.97905,               0.000948,               0.000948,               0.000948
                     36,                0.80976,                0.43693,                  1.021,                0.99736,                0.99789,                0.99494,                0.85153,                0.67841,                0.26298,                  0.976,             0.00093385,             0.00093385,             0.00093385
                     37,                0.81558,                0.45572,                 1.0188,                0.99499,                0.99795,                0.99496,                0.85295,                0.66828,                0.26365,                0.96779,              0.0009197,              0.0009197,              0.0009197
                     38,                0.81868,                0.43246,                 1.0352,                0.99836,                0.99856,                  0.995,                0.85099,                0.67924,                0.26302,                0.97439,             0.00090556,             0.00090556,             0.00090556
                     39,                0.79196,                0.42926,                 1.0206,                0.99524,                0.99612,                  0.995,                0.85824,                0.65539,                0.26149,                 0.9617,             0.00089141,             0.00089141,             0.00089141
                     40,                0.78411,                0.43474,                 1.0206,                0.99692,                0.99622,                0.99488,                0.86135,                0.65216,                0.25794,                0.96111,             0.00087726,             0.00087726,             0.00087726
                     41,                0.79127,                 0.4413,                 1.0123,                0.99746,                0.99732,                  0.995,                0.85637,                0.66108,                0.26157,                0.96438,             0.00086312,             0.00086312,             0.00086312
                     42,                0.78781,                0.41478,                 1.0133,                0.99683,                 0.9958,                0.99474,                0.85069,                0.67251,                0.26523,                0.97358,             0.00084897,             0.00084897,             0.00084897
                     43,                0.78031,                0.43705,                 1.0225,                0.99551,                0.99789,                0.99496,                0.85519,                0.66186,                0.26653,                0.97112,             0.00083482,             0.00083482,             0.00083482
                     44,                  0.771,                0.41644,                 1.0113,                0.99232,                0.99268,                 0.9943,                0.85973,                0.64382,                0.26223,                0.96111,             0.00082067,             0.00082067,             0.00082067
                     45,                0.77819,                0.41722,                 1.0089,                0.99821,                0.99892,                  0.995,                0.86491,                0.62012,                0.24993,                0.94906,             0.00080653,             0.00080653,             0.00080653
                     46,                0.76339,                0.41494,                 1.0035,                0.99704,                0.99921,                  0.995,                0.87085,                0.61089,                0.24045,                0.94544,             0.00079238,             0.00079238,             0.00079238
                     47,                0.77112,                 0.4286,                 1.0073,                0.99849,                0.99903,                0.99493,                 0.8687,                0.61235,                0.23909,                0.94316,             0.00077823,             0.00077823,             0.00077823
                     48,                0.76036,                0.40147,                 1.0068,                0.99704,                0.99808,                0.99494,                0.86472,                0.63193,                0.24858,                0.94504,             0.00076409,             0.00076409,             0.00076409
                     49,                0.76042,                0.40512,                0.99624,                0.99684,                 0.9981,                  0.995,                0.86854,                0.62807,                0.24166,                0.94877,             0.00074994,             0.00074994,             0.00074994
                     50,                0.76133,                0.41737,                 1.0092,                0.99853,                0.99903,                0.99499,                0.87418,                0.60232,                0.23576,                0.93655,             0.00073579,             0.00073579,             0.00073579
                     51,                0.74037,                0.41037,                0.99799,                0.99778,                 0.9982,                0.99498,                0.87348,                0.60057,                0.24252,                0.93377,             0.00072164,             0.00072164,             0.00072164
                     52,                0.74208,                0.42044,                0.99471,                0.99759,                0.99871,                  0.995,                0.87824,                0.58768,                0.23445,                0.93122,              0.0007075,              0.0007075,              0.0007075
                     53,                0.74464,                0.40272,                0.99487,                0.99931,                0.99871,                  0.995,                0.88189,                0.58073,                0.22992,                0.92664,             0.00069335,             0.00069335,             0.00069335
                     54,                0.74083,                0.39909,                 1.0019,                0.99871,                0.99763,                  0.995,                0.87692,                0.57411,                0.23366,                0.92567,              0.0006792,              0.0006792,              0.0006792
                     55,                0.73577,                0.39991,                 1.0017,                0.99846,                0.99894,                  0.995,                0.88473,                0.58048,                0.23249,                0.92381,             0.00066506,             0.00066506,             0.00066506
                     56,                0.72874,                0.39534,                 0.9991,                0.99848,                0.99637,                  0.995,                0.88649,                0.58131,                0.23433,                0.92917,             0.00065091,             0.00065091,             0.00065091
